Designator,Mid X,Mid Y,Rotation,Layer
K57-2,261.938,-78.5812,180.0,top
K45-2,23.8125,-78.5812,180.0,top
K31-2,23.8125,-59.5312,180.0,top
K63,259.556,-97.6312,0.0,top
K62,235.744,-97.6312,0.0,top
K61,154.781,-97.6312,0.0,top
K60,73.8188,-97.6312,0.0,top
K59,50.0062,-97.6312,0.0,top
K58,288.131,-78.5812,180.0,top
K57,271.462,-78.5812,0.0,top
K56,235.744,-78.5812,0.0,top
K55,216.694,-78.5812,0.0,top
K54,197.644,-78.5812,0.0,top
K53,178.594,-78.5812,0.0,top
K52,159.544,-78.5812,0.0,top
K51,140.494,-78.5812,0.0,top
K50,121.444,-78.5812,0.0,top
K49,102.394,-78.5812,0.0,top
K48,83.3438,-78.5812,0.0,top
K47,64.2938,-78.5812,0.0,top
K46,45.2438,-78.5812,180.0,top
K45,33.3375,-78.5812,0.0,top
K44,276.225,-59.5312,0.0,top
K42,245.269,-59.5312,0.0,top
K41,226.219,-59.5312,0.0,top
K40,207.169,-59.5312,0.0,top
K39,188.119,-59.5312,0.0,top
K38,169.069,-59.5312,0.0,top
K37,150.019,-59.5312,0.0,top
K36,130.969,-59.5312,0.0,top
K35,111.919,-59.5312,0.0,top
K34,92.8688,-59.5312,0.0,top
K33,73.8188,-59.5312,0.0,top
K32,54.7688,-59.5312,0.0,top
K31,28.575,-59.5312,0.0,top
K30,283.369,-40.4812,0.0,top
K29,259.556,-40.4812,0.0,top
K28,240.506,-40.4812,0.0,top
K27,221.456,-40.4812,0.0,top
K26,202.406,-40.4812,0.0,top
K25,183.356,-40.4812,0.0,top
K24,164.306,-40.4812,0.0,top
K23,145.256,-40.4812,0.0,top
K22,126.206,-40.4812,0.0,top
K21,107.156,-40.4812,0.0,top
K20,88.1062,-40.4812,0.0,top
K19,69.0562,-40.4812,0.0,top
K18,50.0062,-40.4812,0.0,top
K17,26.1938,-40.4812,0.0,top
K16,288.131,-21.4312,180.0,top
K15,278.606,-21.4312,0.0,top
K14,269.081,-21.4312,180.0,top
K13,250.031,-21.4312,0.0,top
K12,230.981,-21.4312,0.0,top
K11,211.931,-21.4312,0.0,top
K10,192.881,-21.4312,0.0,top
K9,173.831,-21.4312,0.0,top
K8,154.781,-21.4312,0.0,top
K7,135.731,-21.4312,0.0,top
K6,116.681,-21.4312,0.0,top
K5,97.6312,-21.4312,0.0,top
K4,78.5812,-21.4312,0.0,top
K3,59.5312,-21.4312,0.0,top
K2,40.4812,-21.4312,0.0,top
K1,21.4312,-21.4312,0.0,top
D15,278.635,-9.6444,0.0,bottom
J1,170.142,-6.9469,90.0,top
D1,22.6289,-5.6032,0.0,bottom
D2,40.9296,-5.6566,0.0,bottom
D3,59.5312,-11.9062,0.0,bottom
D4,78.5812,-11.9062,0.0,bottom
D5,97.57662,-12.5603,0.0,bottom
D6,116.681,-11.9062,0.0,bottom
D7,135.731,-11.9062,0.0,bottom
D8,154.781,-11.9062,0.0,bottom
D9,173.831,-11.9062,0.0,bottom
D10,192.881,-11.9062,0.0,bottom
D11,211.931,-11.9062,0.0,bottom
D12,230.981,-11.9062,0.0,bottom
D13,250.031,-11.9062,0.0,bottom
D14,266.7,-9.525,0.0,bottom
D16,290.512,-9.525,0.0,bottom
D17,26.1938,-30.9562,0.0,bottom
D18,50.0062,-30.9562,0.0,bottom
D19,69.0562,-30.9562,0.0,bottom
D20,88.1062,-30.9562,0.0,bottom
D21,107.156,-30.9562,0.0,bottom
D22,126.206,-30.9562,0.0,bottom
D23,140.494,-30.9562,0.0,bottom
D24,169.069,-30.9562,0.0,bottom
D25,183.356,-30.9562,0.0,bottom
D26,202.406,-30.9562,0.0,bottom
D27,221.456,-30.9562,0.0,bottom
D28,240.506,-30.9562,0.0,bottom
D29,259.556,-30.9562,0.0,bottom
D30,280.937,-31.3995,0.0,bottom
D31,28.575,-50.0062,0.0,bottom
D32,54.7688,-50.0062,0.0,bottom
D33,73.8188,-50.0062,0.0,bottom
D34,92.8688,-50.0062,0.0,bottom
D35,111.919,-50.0062,0.0,bottom
D36,130.969,-50.0062,0.0,bottom
D37,150.019,-50.0062,0.0,bottom
D38,169.069,-50.0062,0.0,bottom
D39,188.119,-50.0062,0.0,bottom
D40,207.169,-50.0062,0.0,bottom
D41,226.219,-50.0062,0.0,bottom
D42,245.269,-50.0062,0.0,bottom
D44,276.225,-50.0062,0.0,bottom
D45,33.3375,-69.0562,0.0,bottom
D46,45.2438,-69.0562,0.0,bottom
D47,64.2938,-69.0562,0.0,bottom
D48,83.3438,-69.0562,0.0,bottom
D49,102.394,-69.0562,0.0,bottom
D50,121.444,-69.0562,0.0,bottom
D51,140.494,-69.0562,0.0,bottom
D52,159.544,-69.0562,0.0,bottom
D53,178.594,-69.0562,0.0,bottom
D54,197.644,-69.0562,0.0,bottom
D55,216.694,-69.0562,0.0,bottom
D56,235.744,-69.0562,0.0,bottom
D57,275.587,-68.7375,0.0,bottom
D58,271.62,-87.8865,0.0,bottom
D59,55.1917,-88.0516,0.0,bottom
D60,73.8188,-88.1062,0.0,bottom
D61,154.781,-88.1062,0.0,bottom
D62,235.744,-88.1062,0.0,bottom
D63,249.771,-88.5038,0.0,bottom
SW1,135.731,-6.8,180.0,bottom
U1,29.7459,-18.7147,0.0,bottom
